outer_fold,h,alpha,inner_cv_mse
9,12,1.0,454.1354223948835
9,12,10.0,447.7845770439566
9,12,100.0,415.95151050130517
9,16,0.0001,482.97105390754024
9,16,0.001,480.972897660514
9,16,0.01,482.682725572011
9,16,0.1,482.58941776599966
9,16,1.0,482.80330109006474
9,16,10.0,479.8060290344685
9,16,100.0,410.6581493768106
9,20,0.0001,463.8067426960207
9,20,0.001,463.36094678272474
9,20,0.01,462.3807088598998
9,20,0.1,460.283311933549
9,20,1.0,460.50562304974045
9,20,10.0,451.53034206091417
9,20,100.0,400.0310539116788
9,24,0.0001,469.13642115474977
9,24,0.001,469.4870616996421
9,24,0.01,467.12017758765097
9,24,0.1,467.114827986175
9,24,1.0,460.0442541839225
9,24,10.0,444.2883260806667
9,24,100.0,397.9504265235464
10,1,0.0001,394.45842757919655
10,1,0.001,394.46473942496357
10,1,0.01,394.903022922498
10,1,0.1,394.4487724441748
10,1,1.0,394.38464500083876
10,1,10.0,1182.9046603394058
10,1,100.0,1191.363899835265
10,2,0.0001,409.26250578710426
10,2,0.001,409.2624135407679
10,2,0.01,409.26471489307613
10,2,0.1,409.2593910698833
10,2,1.0,408.98767823439783
